EN,SV,PLURAL
AA,AA,AA
AAA,AAA,AAA
AACR,AACR,AACR
ABC,ABC,ABC
ABOUT,ABOUT,ABOUT
ABOVE,ABOVE,ABOVE
ABSOLUTELY,ABSOLUTELY,ABSOLUTELY
ACC,ACC,ACC
ACCEPTED,ACCEPTED,ACCEPTED
ACCESS,ACCESS,ACCESS
ACCOUNT,ACCOUNT,ACCOUNT
ACCOUNTING,ACCOUNTING,ACCOUNTING
ACQ,ACQ,ACQ
ACQCLAIM,ACQCLAIM,ACQCLAIM
ACQORDER,ACQORDER,ACQORDER
ACQUISITION,ACQUISITION,ACQUISITION
ACQUISITIONS,ACQUISITIONS,ACQUISITIONS
ACS,ACS,ACS
AD,AD,AD
ADD,ADD,ADD
ADDCIRCMESSAGE,ADDCIRCMESSAGE,ADDCIRCMESSAGE
ADDED,ADDED,ADDED
ADDITIONAL,ADDITIONAL,ADDITIONAL
ADDR,ADDR,ADDR
ADJ,ADJ,ADJ
ADMINISTRATION,ADMINISTRATION,ADMINISTRATION
ADULT,ADULT,ADULT
ADVISED,ADVISED,ADVISED
AFTER,AFTER,AFTER
AGREED,AGREED,AGREED
ALA,ALA,ALA
ALL,ALL,ALL
AND,AND,AND
ANLEZ,ANLEZ,ANLEZ
ANS,ANS,ANS
ANSCR,ANSCR,ANSCR
ANSI,ANSI,ANSI
ANY,ANY,ANY
ANZ,ANZ,ANZ
AO,AO,AO
AORN,AORN,AORN
API,API,API
APIRenew,APIRenew,APIRenew
APIs,APIs,APIs
APPENDICES,APPENDICES,APPENDICES
APPLICABLE,APPLICABLE,APPLICABLE
APPROVE,APPROVE,APPROVE
AQ,AQ,AQ
AQL,AQL,AQL
AR,AR,AR
ARGUMENTS,ARGUMENTS,ARGUMENTS
ARISING,ARISING,ARISING
AS,AS,AS
ASSUME,ASSUME,ASSUME
AT,AT,AT
AUDIOBOOK,AUDIOBOOK,AUDIOBOOK
AUTH,AUTH,AUTH
AUTHOR,AUTHOR,AUTHOR
AUTHORITIES,AUTHORITIES,AUTHORITIES
AUTO,AUTO,AUTO
AV,AV,AV
AVAILABLE,AVAILABLE,AVAILABLE
AVILL,AVILL,AVILL
AWS,AWS,AWS
AbstractAndIndex,AbstractAndIndex,AbstractAndIndex
AccessControlAllowOrigin,AccessControlAllowOrigin,AccessControlAllowOrigin
AccountAutoReconcile,AccountAutoReconcile,AccountAutoReconcile
AcqCreateItem,AcqCreateItem,AcqCreateItem
AcqEnableFiles,AcqEnableFiles,AcqEnableFiles
AcqItemSetSubfieldsWhenReceiptIsCancelled,AcqItemSetSubfieldsWhenReceiptIsCancelled,AcqItemSetSubfieldsWhenReceiptIsCancelled
AcqItemSetSubfieldsWhenReceived,AcqItemSetSubfieldsWhenReceived,AcqItemSetSubfieldsWhenReceived
AcqViewBaskets,AcqViewBaskets,AcqViewBaskets
AcqWarnOnDuplicateInvoice,AcqWarnOnDuplicateInvoice,AcqWarnOnDuplicateInvoice
AcquisitionDetails,AcquisitionDetails,AcquisitionDetails
AcquisitionLog,AcquisitionLog,AcquisitionLog
AcquisitionsDefaultEmailAddress,AcquisitionsDefaultEmailAddress,AcquisitionsDefaultEmailAddress
AcquisitionsDefaultReplyTo,AcquisitionsDefaultReplyTo,AcquisitionsDefaultReplyTo
ActionLogsTraceDepth,ActionLogsTraceDepth,ActionLogsTraceDepth
AdditionalContentsEditor,AdditionalContentsEditor,AdditionalContentsEditor
AddressForFailedOverdueNotices,AddressForFailedOverdueNotices,AddressForFailedOverdueNotices
AddressFormat,AddressFormat,AddressFormat
AdvancedSearchLanguages,AdvancedSearchLanguages,AdvancedSearchLanguages
AdvancedSearchTypes,AdvancedSearchTypes,AdvancedSearchTypes
AffiliateUserServices,AffiliateUserServices,AffiliateUserServices
AgeRestrictionMarker,AgeRestrictionMarker,AgeRestrictionMarker
AgeRestrictionOverride,AgeRestrictionOverride,AgeRestrictionOverride
AggregatedFullText,AggregatedFullText,AggregatedFullText
AggressiveMatchOnISBN,AggressiveMatchOnISBN,AggressiveMatchOnISBN
AggressiveMatchOnISSN,AggressiveMatchOnISSN,AggressiveMatchOnISSN
AllFinesNeedOverride,AllFinesNeedOverride,AllFinesNeedOverride
AllowAllMessageDeletion,AllowAllMessageDeletion,AllowAllMessageDeletion
AllowCheckoutNotes,AllowCheckoutNotes,AllowCheckoutNotes
AllowFineOverride,AllowFineOverride,AllowFineOverride
AllowHoldDateInFuture,AllowHoldDateInFuture,AllowHoldDateInFuture
AllowHoldItemTypeSelection,AllowHoldItemTypeSelection,AllowHoldItemTypeSelection
AllowHoldPolicyOverride,AllowHoldPolicyOverride,AllowHoldPolicyOverride
AllowHoldsOnDamagedItems,AllowHoldsOnDamagedItems,AllowHoldsOnDamagedItems
AllowHoldsOnPatronsPossessions,AllowHoldsOnPatronsPossessions,AllowHoldsOnPatronsPossessions
AllowItemsOnHoldCheckoutSCO,AllowItemsOnHoldCheckoutSCO,AllowItemsOnHoldCheckoutSCO
