EN,SV,PLURAL
ThingISBN,ThingISBN,ThingISBN
OPACFRBRizeEditions,OPACFRBRizeEditions,OPACFRBRizeEditions
FRBRizeEditions,FRBRizeEditions,FRBRizeEditions
BakerTaylorUsername and BakerTaylorPassword,BakerTaylorUsername and BakerTaylorPassword,BakerTaylorUsername and BakerTaylorPassword
BakerTaylorBookstoreURL,BakerTaylorBookstoreURL,BakerTaylorBookstoreURL
BakerTaylorEnabled,BakerTaylorEnabled,BakerTaylorEnabled
HTML5MediaEnabled,HTML5MediaEnabled,HTML5MediaEnabled
LibraryThingForLibrariesID,LibraryThingForLibrariesID,LibraryThingForLibrariesID
LocalCoverImages,LocalCoverImages,LocalCoverImages
OPACLocalCoverImages,OPACLocalCoverImages,OPACLocalCoverImages
CustomCoverImagesURL,CustomCoverImagesURL,CustomCoverImagesURL
OPACCustomCoverImages,OPACCustomCoverImages,OPACCustomCoverImages
CustomCoverImages,CustomCoverImages,CustomCoverImages
AllowMultipleCovers,AllowMultipleCovers,AllowMultipleCovers
staffClientBaseURL,staffClientBaseURL,staffClientBaseURL
Baker & Taylor Content Cafe,Baker & Taylor Content Cafe,Baker & Taylor Content Cafe
NovelistSelectProfile and NovelistSelectPassword,NovelistSelectProfile and NovelistSelectPassword,NovelistSelectProfile and NovelistSelectPassword
OverDriveLibraryID,OverDriveLibraryID,OverDriveLibraryID
OverDriveClientKey and OverDriveClientSecret,OverDriveClientKey and OverDriveClientSecret,OverDriveClientKey and OverDriveClientSecret
SyndeticsClientCode,SyndeticsClientCode,SyndeticsClientCode
SyndeticsEnabled,SyndeticsEnabled,SyndeticsEnabled
SyndeticsEditions,SyndeticsEditions,SyndeticsEditions
Tags,Tags,Tags
loggedinlibrary permission,loggedinlibrary permission,loggedinlibrary permission
superlibrarian permission,superlibrarian permission,superlibrarian permission
StaffLoginLibraryBasedOnIP,StaffLoginLibraryBasedOnIP,StaffLoginLibraryBasedOnIP
StaffLoginRestrictLibraryByIP,StaffLoginRestrictLibraryByIP,StaffLoginRestrictLibraryByIP
implementation checklist,implementation checklist,implementation checklist
system preferences,system preferences,system preferences
serials permission,serials permission,serials permission
creating a new subscription,creating a new subscription,creating a new subscription
creating a new serial subscription,creating a new serial subscription,creating a new serial subscription
numbering patterns table (see above),numbering patterns table (see above),numbering patterns table (see above)
create\_subscription permission,create\_subscription permission,create\_subscription permission
Acquisitions module,Acquisitions module,Acquisitions module
'Notices and slips' tool,'Notices and slips' tool,'Notices and slips' tool
makePreviousSerialAvailable,makePreviousSerialAvailable,makePreviousSerialAvailable
SerialsUpdate.pl cron job,SerialsUpdate.pl cron job,SerialsUpdate.pl cron job
StaffSerialIssueDisplayCount,StaffSerialIssueDisplayCount,StaffSerialIssueDisplayCount
OPACSerialIssueDisplayCount,OPACSerialIssueDisplayCount,OPACSerialIssueDisplayCount
manage frequencies,manage frequencies,manage frequencies
add a custom frequency,add a custom frequency,add a custom frequency
manage numbering patterns,manage numbering patterns,manage numbering patterns
adding a numbering pattern,adding a numbering pattern,adding a numbering pattern
custom fields,custom fields,custom fields
edit\_subscription permission,edit\_subscription permission,edit\_subscription permission
receive\_serials permission,receive\_serials permission,receive\_serials permission
item add form,item add form,item add form
receiving issues,receiving issues,receiving issues
routing permission,routing permission,routing permission
RoutingSerials,RoutingSerials,RoutingSerials
RoutingListNote,RoutingListNote,RoutingListNote
RoutingListAddReserves,RoutingListAddReserves,RoutingListAddReserves
routing lists tab,routing lists tab,routing lists tab
your routing lists,your routing lists,your routing lists
acquisitions,acquisitions,acquisitions
serial subscriptions,serial subscriptions,serial subscriptions
'Table settings','Table settings','Table settings'
opacSerialDefaultTab,opacSerialDefaultTab,opacSerialDefaultTab
setting up the subscription,setting up the subscription,setting up the subscription
SubscriptionHistory,SubscriptionHistory,SubscriptionHistory
creating the subscription,creating the subscription,creating the subscription
claim\_serials permission,claim\_serials permission,claim\_serials permission
Notices and slips tool,Notices and slips tool,Notices and slips tool
CSV profile,CSV profile,CSV profile
check\_expiration permission,check\_expiration permission,check\_expiration permission
renew\_subscription permission,renew\_subscription permission,renew\_subscription permission
RenewSerialAddsSuggestion,RenewSerialAddsSuggestion,RenewSerialAddsSuggestion
acquisitions module,acquisitions module,acquisitions module
additional fields,additional fields,additional fields
SerialsSearchResultsLimit,SerialsSearchResultsLimit,SerialsSearchResultsLimit
receiving an issue,receiving an issue,receiving an issue
Serials table in the FAQ section,Serials table in the FAQ section,Serials table in the FAQ section
routing list,routing list,routing list
preservation module,preservation module,preservation module
subscription,subscription,subscription
Serial collection,Serial collection,Serial collection
lost status,lost status,lost status
claim was sent to the vendor,claim was sent to the vendor,claim was sent to the vendor
guided reports wizard,guided reports wizard,guided reports wizard
SQL query,SQL query,SQL query
create\_reports permission,create\_reports permission,create\_reports permission
guided report wizard,guided report wizard,guided report wizard
directly with SQL,directly with SQL,directly with SQL
JSON reports services,JSON reports services,JSON reports services
REPORT\_GROUP authorized value category,REPORT\_GROUP authorized value category,REPORT\_GROUP authorized value category
REPORT\_SUBGROUP authorized value category,REPORT\_SUBGROUP authorized value category,REPORT\_SUBGROUP authorized value category
report writing tips,report writing tips,report writing tips
edit it,edit it,edit it
duplicate it,duplicate it,duplicate it
make edits,make edits,make edits
run the report,run the report,run the report
authorized value category,authorized value category,authorized value category
MARC bibliographic frameworks,MARC bibliographic frameworks,MARC bibliographic frameworks
classification sources,classification sources,classification sources
item types,item types,item types
libraries,libraries,libraries
patron categories,patron categories,patron categories
cash registers,cash registers,cash registers
debit types,debit types,debit types
credit types,credit types,credit types
send to batch modification tools,send to batch modification tools,send to batch modification tools
automatic hyperlinks to,automatic hyperlinks to,automatic hyperlinks to
Column names,Column names,Column names
configured Mana KB,configured Mana KB,configured Mana KB
execute\_reports permission,execute\_reports permission,execute\_reports permission
create from SQL,create from SQL,create from SQL
Mana is set up,Mana is set up,Mana is set up
search Mana for an existing SQL report,search Mana for an existing SQL report,search Mana for an existing SQL report
edit the current report,edit the current report,edit the current report
create a new report from the existing one,create a new report from the existing one,create a new report from the existing one
notices and slips tool,notices and slips tool,notices and slips tool
Tools > Notices and slips,Tools > Notices and slips,Tools > Notices and slips
New notice,New notice,New notice
task scheduler tool,task scheduler tool,task scheduler tool
custom reports,custom reports,custom reports
reports permissions,reports permissions,reports permissions
report permission,report permission,report permission
managing plugins section,managing plugins section,managing plugins section
Circulating ILL materials,Circulating ILL materials,Circulating ILL materials
View ILL requests list,View ILL requests list,View ILL requests list
authorized value,authorized value,authorized value
ILL module,ILL module,ILL module
HTML customization location,HTML customization location,HTML customization location
creating an ILL request from the OPAC,creating an ILL request from the OPAC,creating an ILL request from the OPAC
ILL requests placed by patrons on the OPAC,ILL requests placed by patrons on the OPAC,ILL requests placed by patrons on the OPAC
manage all ILL requests,manage all ILL requests,manage all ILL requests
send requests to partners,send requests to partners,send requests to partners
library's,library's,library's
ILL email notifications,ILL email notifications,ILL email notifications
letter codes,letter codes,letter codes
OPAC requests,OPAC requests,OPAC requests
plugins,plugins,plugins
submits an ILL request,submits an ILL request,submits an ILL request
manual invoicing,manual invoicing,manual invoicing
EnablePointOfSale,EnablePointOfSale,EnablePointOfSale
UseCashRegisters,UseCashRegisters,UseCashRegisters
configure your cash registers,configure your cash registers,configure your cash registers
takepayment permission,takepayment permission,takepayment permission
PAYMENT\_TYPE authorized value,PAYMENT\_TYPE authorized value,PAYMENT\_TYPE authorized value
OPACXSLTDetailsDisplay,OPACXSLTDetailsDisplay,OPACXSLTDetailsDisplay
OPACXSLTListsDisplay,OPACXSLTListsDisplay,OPACXSLTListsDisplay
